tt60352178,Der neue Mann,Der neue Mann,1989,45,Drama,6.2,13,6,writer,written by,2,1,Michael Baier,1940,2019,"writer,production_manager"
tt60353037,Bentley and the Revolving Housekeepers,Bentley and the Revolving Housekeepers,1957,30,"Comedy,Family",7.5,12,6,writer,written by,1,6,Arthur Alsberg,1917,2004,"miscellaneous,writer,producer"
tt60353817,Annie,Annie,1999,90,"Adventure,Comedy,Drama",6.7,5607,7,writer,"book of musical play ""Annie""",3,5,Thomas Meehan,1929,2017,"writer,producer,soundtrack"
tt60353971,The Setup,The Setup,1986,48,"Action,Crime,Drama",7.8,79,6,writer,created by,2,19,Frank Lupo,1955,2021,"writer,producer,script_department"
tt60353980,Contingencies on Contingencies,Contingencies on Contingencies,2021,51,"Adventure,Drama,Family",7.6,1080,7,writer,created by,3,7,Irwin Allen,1916,1991,"writer,producer,director"
tt60354466,The Critic,The Critic,1982,120,Drama,7.7,16,8,production_designer,designer,15,4,Barry Newbery,1927,2015,"production_designer,miscellaneous"
tt60356845,May We Make Them Proud Part I,May We Make Them Proud Part I,1980,50,"Drama,Family,Romance",7.7,311,5,writer,developed for television by,6,18,Blanche Hanalis,1915,1992,"writer,miscellaneous"
tt60357554,Ein neuer Anfang,Ein neuer Anfang,2009,48,"Comedy,Crime,Drama",7.2,14,6,writer,concept,23,13,Jürgen Roland,1925,2007,"director,writer,actor"
tt60357591,The Doll,The Doll,1966,30,"Adventure,Drama,Family",7.4,16,6,writer,writer,12,28,Eric Freiwald,1927,2010,"writer,miscellaneous,music_department"
tt60358566,GoodBye Charlie,GoodBye Charlie,1990,47,"Crime,Drama,Mystery",6.7,304,7,writer,created by,6,12,Richard Levinson,1934,1987,"writer,producer,miscellaneous"
tt60359650,War CoRespondent,War CoRespondent,1980,24,"Comedy,Drama,War",7.3,461,6,writer,executive story editor,8,23,Thad Mumford,1951,2018,"writer,producer,script_department"
tt60360922,Eye of the Hurricane,Eye of the Hurricane,1969,60,"Crime,Drama,Mystery",7.1,40,6,writer,created by,3,4,Collier Young,1908,1980,"writer,producer,actor"
tt60361036,Search for Joey,Search for Joey,1956,30,"Family,Western",6.7,28,6,writer,story,1,19,Nat Tanchuck,1912,1978,"writer,producer"
tt60361874,Episode 1311,Episode 1311,1967,22,"Drama,Fantasy,Horror",7.3,55,6,writer,creator,1,311,Dan Curtis,1927,2006,"producer,writer,director"
tt60364858,The Legion of the Living,The Legion of the Living,1977,50,Drama,8.8,23,6,writer,creator,2,12,John Hawkesworth,1920,2003,"writer,producer,art_department"
