tt60751743,Loves Sweet Awakening,Loves Sweet Awakening,1960,30,"Comedy,Family",7.0,24,7,writer,written by,2,36,Frank Tarloff,1916,1999,"writer,miscellaneous,script_department"
tt60805401,The Day Smart Turned Chicken,The Day Smart Turned Chicken,1965,25,"Action,Adventure,Comedy",7.8,219,8,writer,written by,1,8,Pat McCormick,1927,2005,"writer,miscellaneous,actor"
tt60861772,The Youth Center,The Youth Center,1969,30,"Comedy,Family",7.4,56,7,writer,written by,5,8,John L. Greene,1912,1995,"writer,producer"
tt60907202,The Jimmy Stewart Show,The Jimmy Stewart Show,1959,30,Comedy,7.9,59,10,cinematographer,director of photography,10,4,Sidney Hickox,1895,1982,"cinematographer,camera_department,actor"
tt61112011,The Crapshooter Who Would Be King,The Crapshooter Who Would Be King,1972,30,Comedy,5.9,19,6,writer,created by,4,21,James Fritzell,1920,1979,"writer,script_department,soundtrack"
tt61148338,The Teenage Crush,The Teenage Crush,1952,30,Comedy,6.6,6,7,writer,written by,2,7,James Fritzell,1920,1979,"writer,script_department,soundtrack"
tt61162582,Episode 511,Episode 511,1971,60,"Comedy,Family",7.7,32,6,writer,writer,5,11,Don Hinkley,1921,1981,"writer,producer"
tt61210912,The Moon or Bust,The Moon or Bust,1954,26,Comedy,6.1,11,6,writer,written by,1,2,Benedict Freedman,1919,2012,writer
tt61258236,The Ould Sod,The Ould Sod,1962,30,"Comedy,Family",7.8,10,6,writer,written by,10,10,Frank Tarloff,1916,1999,"writer,miscellaneous,script_department"
tt61267698,Last Laugh,Last Laugh,1977,25,"Comedy,Drama,War",7.6,450,7,writer,written by,6,3,James Fritzell,1920,1979,"writer,script_department,soundtrack"
tt61304811,The Book Report,The Book Report,1963,30,"Comedy,Family",8.0,99,8,writer,written by,6,30,Roland MacLane,1903,1984,writer
tt61342573,Beavers Old Friend,Beavers Old Friend,1958,30,"Comedy,Family",7.8,113,9,writer,written by,1,32,Roland MacLane,1903,1984,writer
tt61349721,Maude Meets Florida,Maude Meets Florida,1972,26,Comedy,8.2,126,9,writer,story consultant,1,3,Frank Tarloff,1916,1999,"writer,miscellaneous,script_department"
tt61379421,A Strange Little Visitor,A Strange Little Visitor,1965,25,"Comedy,Family,Fantasy",7.6,307,6,writer,written by,2,12,John L. Greene,1912,1995,"writer,producer"
tt61412329,The Hollywood Party,The Hollywood Party,1965,30,"Comedy,Family",7.0,191,6,writer,written by,6,9,Lawrence J. Cohen,1935,2017,"writer,producer,soundtrack"
